"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"103.91.8.0","","Hong Kong","","","Netsec Limited","45753","22.2578","114.1657"
"103.91.126.0","","Hong Kong","","","19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong","135581","22.2578","114.1657"
"103.91.156.0","","Hong Kong","","","TWOWIN CO., LIMITED","133929","22.2578","114.1657"
"103.91.217.0","","South Korea","Seoul","Seoul","HDTIDC LIMITED","136038","37.5794","126.9754"
"103.92.129.0","","Hong Kong","","","HGC Global Communications Limited","9304","22.2578","114.1657"
"103.92.136.0","","Hong Kong","","","","","22.2578","114.1657"
"103.93.46.0","","Hong Kong","","","Ping Global Amsterdam POP ASN","132721","22.2578","114.1657"
"103.93.72.0","","Hong Kong","","","IP ServerOne Solutions Sdn Bhd","45352","22.2578","114.1657"
"103.93.124.0","","Hong Kong","","","Dimension Network & Communication Limited","59371","22.2578","114.1657"
"103.94.76.0","","Hong Kong","","","LEMON TELECOMMUNICATIONS LIMITED","132325","22.2578","114.1657"
"103.94.103.0","","Hong Kong","","","ThinkDream Technology Limited","135026","22.2578","114.1657"
"103.94.148.0","","Hong Kong","","","Equinix Japan Enterprise K.K.","17941","22.2578","114.1657"
"103.94.157.0","","India","Punjab","Jalandhar","SBP Corporation Limited","136621","31.33","75.5844"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"103.94.184.0","","Hong Kong","","","NATIXIS","136726","22.2578","114.1657"
"103.94.214.0","","Hong Kong","","","Truphone Limited","30967","22.2578","114.1657"
"103.95.56.0","","Hong Kong","","","Reasonable Software House Limited","133054","22.2578","114.1657"
"103.95.103.0","","Hong Kong","","","","","22.2578","114.1657"
"103.96.72.0","","Hong Kong","","","Cloudie Limited","55933","22.2578","114.1657"
"103.96.120.0","","Taiwan","","","Child Wisdom Limited","137386","24","121"
"103.96.128.0","","Hong Kong","","","WUZHOUHULIAN INTERNATIONAL CO., LIMITED","136798","22.2578","114.1657"
"103.97.0.0","","Hong Kong","","","TELEGLOBAL COMMUNICATION SERVICES LIMITED","133073","22.2578","114.1657"
"103.97.175.0","","Hong Kong","","","STACKS-INC-01","398704","22.2578","114.1657"
"103.97.176.0","","Hong Kong","","","","","22.2578","114.1657"
"103.97.200.0","","Hong Kong","","","","","22.2578","114.1657"
"103.98.8.0","","Hong Kong","","","AOFEI DATA INTERNATIONAL COMPANY LIMITED","135391","22.2578","114.1657"
"103.98.14.0","core1.hk.hkbri.com","Hong Kong","","","HONG KONG BRIDGE INFO-TECH LIMITED","137969","22.2578","114.1657"
"103.98.16.0","","Taiwan","Taipei City","Taipei","UCLOUD INFORMATION TECHNOLOGY HK LIMITED","135377","25.0504","121.5324"
"103.98.112.0","","Hong Kong","","","Ping Global Amsterdam POP ASN","132721","22.2578","114.1657"
"103.98.114.0","","Hong Kong","","","Ping Global Amsterdam POP ASN","132721","22.2578","114.1657"
"103.99.23.0","","Hong Kong","","","CLOUDEST HK LIMITED","132304","22.2578","114.1657"
"103.99.72.0","","Hong Kong","","","TWOWIN CO., LIMITED","133929","22.2578","114.1657"
"103.99.208.0","","South Korea","Seoul","Seoul","LG DACOM Corporation","3786","37.5794","126.9754"
"103.99.210.0","","South Korea","Seoul","Seoul","LG DACOM Corporation","3786","37.5794","126.9754"
"103.100.112.0","","Hong Kong","","","HuaBo Technology International Limited","133527","22.2578","114.1657"
