"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"223.26.0.0","","Taiwan","","","","","24","121"
"223.26.64.0","","Taiwan","","","","","24","121"
"223.27.32.0","","Taiwan","Taipei City","Taipei","PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD","38843","25.0504","121.5324"
"223.136.0.0","223-136-0-0.emome-ip.hinet.net","Taiwan","Keelung","Keelung","Mobile Business Group","17421","25.1322","121.742"
"223.165.8.0","","Taiwan","","","World-Link International","133955","24","121"
"223.200.0.0","223-200-0-0.hinet-ip.hinet.net","Taiwan","Miaoli","Miaoli","Data Communication Business Group","4782","24.5641","120.8275"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"61.220.0.0","61-220-0-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"61.224.0.0","61-224-0-0.dynamic-ip.hinet.net","Taiwan","Yunlin","Bunan","Data Communication Business Group","3462","23.5981","120.1882"
"61.228.0.0","61-228-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","Xinzhuang District","Data Communication Business Group","3462","25.0383","121.4506"
"61.247.160.0","static-ip-0-160-247-61.rev.dyxnet.com","Taiwan","","","TW Limited","9244","24","121"
"74.120.120.0","","Taiwan","Taipei City","Taipei","xTom Pty Ltd","8888","25.0504","121.5324"
"74.121.191.88","","United States","","","SERVERSTADIUM","27323","37.751","-97.822"
"74.121.191.128","","United States","","","SERVERSTADIUM","27323","37.751","-97.822"
"85.113.86.0","","Taiwan","","","","","24","121"
"85.203.57.0","visit.keznews.com","Mexico","Mexico City","Mexico City","MODMC","54103","19.4326","-99.1332"
"85.217.216.0","","N/A","N/A","N/A","","","0","0"
"101.0.128.0","","Taiwan","","","SaveCom Internation Inc.","9676","24","121"
"101.3.0.0","","Taiwan","Tainan","Tainan City","Taiwan Intelligent Fiber Optic Network Co.,Ltd.","131584","22.9917","120.2148"
"101.8.0.0","","Taiwan","Kaohsiung","Kaohsiung City","Taiwan Mobile Co., Ltd.","24158","22.6148","120.3139"
"101.101.101.0","","Taiwan","","","Taiwan Network Information Center","131621","24","121"
"101.102.103.0","","Taiwan","","","Taiwan Network Information Center","131621","24","121"
"101.136.0.0","101-136-0-0.mobile.dynamic.aptg.com.tw","Taiwan","New Taipei","New Taipei","Ambit Microsystem Corporation","131591","24.9466","121.586"
"103.1.220.0","103-1-220-0.static.ip.net.tw","Taiwan","Taoyuan","Taoyuan District","Yuan-Jhen Info., Co., Ltd","131149","24.9889","121.3176"
"103.2.216.0","","Taiwan","","","","","24","121"
"103.3.192.0","","Taiwan","New Taipei","New Taipei","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24.9466","121.586"
"103.4.104.0","","Hong Kong","","","HGC Global Communications Limited","9304","22.2578","114.1657"
"103.5.32.0","","Taiwan","","","Taiwan Star Telecom Corporation Limited.Former Vibo Telecom Inc.","24157","24","121"
"103.5.44.0","","Taiwan","","","Magna Hosting Ltd","135387","24","121"
"103.5.100.0","","Taiwan","New Taipei","New Taipei","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24.9466","121.586"
"103.8.104.0","","Taiwan","","","","","24","121"
